Word,Method1,Method2,Jaccard_Similarity
cerebrospinal,gpt,mw,0.14285714285714285
cerebrospinal,gpt,wordnet,0.0
cerebrospinal,llama,mw,0.1111111111111111
cerebrospinal,llama,wordnet,0.0
cerebrospinal,mw,wordnet,0.0
trivalent,deepseek,gpt,0.25
trivalent,deepseek,llama,0.25
trivalent,deepseek,mw,0.0
trivalent,deepseek,wordnet,0.3333333333333333
trivalent,gpt,llama,0.3333333333333333
trivalent,gpt,mw,0.0
trivalent,gpt,wordnet,0.0
trivalent,llama,mw,0.0
trivalent,llama,wordnet,0.0
trivalent,mw,wordnet,0.0
yummy,deepseek,gpt,0.7777777777777778
yummy,deepseek,llama,0.5555555555555556
yummy,deepseek,mw,0.47368421052631576
yummy,deepseek,wordnet,0.3333333333333333
yummy,gpt,llama,0.7142857142857143
yummy,gpt,mw,0.3684210526315789
yummy,gpt,wordnet,0.2727272727272727
yummy,llama,mw,0.2631578947368421
yummy,llama,wordnet,0.3333333333333333
yummy,mw,wordnet,0.23809523809523808
retrospectively,deepseek,gpt,0.4444444444444444
retrospectively,deepseek,llama,0.36363636363636365
retrospectively,deepseek,mw,0.0
retrospectively,deepseek,wordnet,0.0
retrospectively,gpt,llama,0.7142857142857143
retrospectively,gpt,mw,0.0
retrospectively,gpt,wordnet,0.0
retrospectively,llama,mw,0.0
retrospectively,llama,wordnet,0.0
retrospectively,mw,wordnet,0.0
burr,deepseek,gpt,0.5
burr,deepseek,llama,0.3333333333333333
burr,deepseek,mw,0.0
burr,deepseek,wordnet,0.0
burr,gpt,llama,0.42857142857142855
burr,gpt,mw,0.0
burr,gpt,wordnet,0.0
burr,llama,mw,0.0
burr,llama,wordnet,0.0
burr,mw,wordnet,0.0
sinus,deepseek,gpt,0.42857142857142855
sinus,deepseek,llama,0.4444444444444444
sinus,deepseek,mw,0.0
sinus,deepseek,wordnet,0.0
sinus,gpt,llama,0.1
sinus,gpt,mw,0.0
sinus,gpt,wordnet,0.0
sinus,llama,mw,0.0
sinus,llama,wordnet,0.0
sinus,mw,wordnet,0.0
napa,deepseek,gpt,0.14285714285714285
napa,deepseek,llama,0.16666666666666666
napa,deepseek,mw,0.0
napa,deepseek,wordnet,0.25
napa,gpt,llama,0.6666666666666666
napa,gpt,mw,0.0
napa,gpt,wordnet,0.14285714285714285
napa,llama,mw,0.0
napa,llama,wordnet,0.16666666666666666
napa,mw,wordnet,0.0
apparent,deepseek,gpt,0.36363636363636365
apparent,deepseek,llama,0.4444444444444444
apparent,deepseek,mw,0.07792207792207792
apparent,deepseek,wordnet,0.2727272727272727
apparent,gpt,llama,0.6
apparent,gpt,mw,0.08860759493670886
apparent,gpt,wordnet,0.21428571428571427
apparent,llama,mw,0.09090909090909091
apparent,llama,wordnet,0.36363636363636365
apparent,mw,wordnet,0.08974358974358974
anticipation,deepseek,gpt,0.07692307692307693
anticipation,deepseek,llama,0.6666666666666666
anticipation,deepseek,mw,0.08333333333333333
anticipation,deepseek,wordnet,0.08333333333333333
anticipation,gpt,llama,0.08333333333333333
anticipation,gpt,mw,0.1
anticipation,gpt,wordnet,0.2222222222222222
anticipation,llama,mw,0.09090909090909091
anticipation,llama,wordnet,0.09090909090909091
anticipation,mw,wordnet,0.25
capped,deepseek,gpt,0.5
capped,deepseek,llama,0.15384615384615385
capped,deepseek,mw,0.09523809523809523
capped,deepseek,wordnet,0.0
capped,gpt,llama,0.25
capped,gpt,mw,0.125
capped,gpt,wordnet,0.0
capped,llama,mw,0.125
capped,llama,wordnet,0.0
capped,mw,wordnet,0.0
equipment,deepseek,gpt,0.38461538461538464
equipment,deepseek,llama,0.5833333333333334
equipment,deepseek,mw,0.4
equipment,deepseek,wordnet,0.0
equipment,gpt,llama,0.5454545454545454
equipment,gpt,mw,0.1875
equipment,gpt,wordnet,0.0
equipment,llama,mw,0.25
equipment,llama,wordnet,0.0
equipment,mw,wordnet,0.0
facial,deepseek,gpt,0.18181818181818182
facial,deepseek,llama,0.18181818181818182
facial,deepseek,mw,0.0
facial,deepseek,wordnet,0.0
facial,gpt,llama,0.25
facial,gpt,mw,0.0
facial,gpt,wordnet,0.0
facial,llama,mw,0.0
facial,llama,wordnet,0.0
facial,mw,wordnet,0.0
protectionism,deepseek,gpt,0.1111111111111111
protectionism,deepseek,llama,0.1111111111111111
protectionism,deepseek,mw,0.0
protectionism,deepseek,wordnet,0.0
protectionism,gpt,llama,0.1111111111111111
protectionism,gpt,mw,0.0
protectionism,gpt,wordnet,0.0
protectionism,llama,mw,0.041666666666666664
protectionism,llama,wordnet,0.0
protectionism,mw,wordnet,0.0
solvent,deepseek,gpt,0.1
solvent,deepseek,llama,0.18181818181818182
solvent,deepseek,mw,0.0
solvent,deepseek,wordnet,0.23076923076923078
solvent,gpt,llama,0.42857142857142855
solvent,gpt,mw,0.0
solvent,gpt,wordnet,0.18181818181818182
solvent,llama,mw,0.0
solvent,llama,wordnet,0.15384615384615385
solvent,mw,wordnet,0.0
angeline,deepseek,gpt,0.0
angeline,deepseek,llama,0.0
angeline,deepseek,mw,0.041666666666666664
angeline,deepseek,wordnet,0.0
angeline,gpt,llama,0.0
angeline,gpt,mw,0.0
angeline,gpt,wordnet,0.0
angeline,llama,mw,0.043478260869565216
angeline,llama,wordnet,0.0
angeline,mw,wordnet,0.0
samba,deepseek,gpt,0.1111111111111111
samba,deepseek,llama,0.18181818181818182
samba,deepseek,mw,0.0
samba,deepseek,wordnet,0.0
samba,gpt,llama,0.18181818181818182
samba,gpt,mw,0.0
samba,gpt,wordnet,0.0
samba,llama,mw,0.0
samba,llama,wordnet,0.0
samba,mw,wordnet,0.0
dumb,deepseek,gpt,0.5555555555555556
dumb,deepseek,llama,0.4
dumb,deepseek,mw,0.02109704641350211
dumb,deepseek,wordnet,0.13333333333333333
dumb,gpt,llama,0.3333333333333333
dumb,gpt,mw,0.01694915254237288
dumb,gpt,wordnet,0.15384615384615385
dumb,llama,mw,0.01694915254237288
dumb,llama,wordnet,0.15384615384615385
dumb,mw,wordnet,0.03404255319148936
visibility,deepseek,gpt,0.2
visibility,deepseek,llama,0.23076923076923078
visibility,deepseek,mw,0.03076923076923077
visibility,deepseek,wordnet,0.125
visibility,gpt,llama,0.3333333333333333
visibility,gpt,mw,0.03076923076923077
visibility,gpt,wordnet,0.0
visibility,llama,mw,0.05970149253731343
visibility,llama,wordnet,0.0
visibility,mw,wordnet,0.0
teens,deepseek,gpt,0.3333333333333333
teens,deepseek,llama,0.375
teens,deepseek,mw,0.046875
teens,deepseek,wordnet,0.0
teens,gpt,llama,0.8
teens,gpt,mw,0.03125
teens,gpt,wordnet,0.0
teens,llama,mw,0.031496062992125984
teens,llama,wordnet,0.0
teens,mw,wordnet,0.023255813953488372
unsung,deepseek,gpt,0.3333333333333333
unsung,deepseek,llama,0.7142857142857143
unsung,deepseek,mw,0.07142857142857142
unsung,deepseek,wordnet,0.09090909090909091
unsung,gpt,llama,0.42857142857142855
unsung,gpt,mw,0.3
unsung,gpt,wordnet,0.1111111111111111
unsung,llama,mw,0.08333333333333333
unsung,llama,wordnet,0.1111111111111111
unsung,mw,wordnet,0.18181818181818182
retract,deepseek,gpt,0.4166666666666667
retract,deepseek,llama,0.3076923076923077
retract,deepseek,mw,0.4
retract,deepseek,wordnet,0.11764705882352941
retract,gpt,llama,0.4
retract,gpt,mw,0.2
retract,gpt,wordnet,0.06666666666666667
retract,llama,mw,0.125
retract,llama,wordnet,0.14285714285714285
retract,mw,wordnet,0.17647058823529413
muster,deepseek,gpt,0.5454545454545454
muster,deepseek,llama,0.5454545454545454
muster,deepseek,mw,0.075
muster,deepseek,wordnet,0.125
muster,gpt,llama,0.5555555555555556
muster,gpt,mw,0.05063291139240506
muster,gpt,wordnet,0.15384615384615385
muster,llama,mw,0.05063291139240506
muster,llama,wordnet,0.07142857142857142
muster,mw,wordnet,0.024390243902439025
esophageal,deepseek,gpt,0.2
esophageal,deepseek,llama,0.3333333333333333
esophageal,deepseek,mw,0.0
esophageal,deepseek,wordnet,0.0
esophageal,gpt,llama,0.3333333333333333
esophageal,gpt,mw,0.0
esophageal,gpt,wordnet,0.0
esophageal,llama,mw,0.0
esophageal,llama,wordnet,0.0
esophageal,mw,wordnet,0.0
overconfidence,deepseek,gpt,0.36363636363636365
overconfidence,deepseek,llama,0.8
overconfidence,deepseek,mw,0.10204081632653061
overconfidence,deepseek,wordnet,0.0
overconfidence,gpt,llama,0.4444444444444444
overconfidence,gpt,mw,0.06521739130434782
overconfidence,gpt,wordnet,0.0
overconfidence,llama,mw,0.10638297872340426
overconfidence,llama,wordnet,0.0
overconfidence,mw,wordnet,0.0
simplification,deepseek,gpt,0.5
simplification,deepseek,llama,0.4444444444444444
simplification,deepseek,mw,0.037037037037037035
simplification,deepseek,wordnet,0.1111111111111111
simplification,gpt,llama,0.5
simplification,gpt,mw,0.012658227848101266
simplification,gpt,wordnet,0.2
simplification,llama,mw,0.038461538461538464
simplification,llama,wordnet,0.16666666666666666
simplification,mw,wordnet,0.0
got,deepseek,gpt,0.75
got,deepseek,llama,0.5555555555555556
got,deepseek,mw,0.011965811965811967
got,deepseek,wordnet,0.0
got,gpt,llama,0.7142857142857143
got,gpt,mw,0.008547008547008548
got,gpt,wordnet,0.0
got,llama,mw,0.006825938566552901
got,llama,wordnet,0.0
got,mw,wordnet,0.04807692307692308
acrylonitrile,deepseek,gpt,0.0
acrylonitrile,deepseek,llama,0.4
acrylonitrile,deepseek,mw,0.0
acrylonitrile,deepseek,wordnet,0.16666666666666666
acrylonitrile,gpt,llama,0.0
acrylonitrile,gpt,mw,0.0
acrylonitrile,gpt,wordnet,0.0
acrylonitrile,llama,mw,0.0
acrylonitrile,llama,wordnet,0.2
acrylonitrile,mw,wordnet,0.0
dah,deepseek,gpt,0.0
dah,deepseek,llama,0.0
dah,deepseek,mw,0.0
dah,deepseek,wordnet,0.0
dah,gpt,llama,0.14285714285714285
dah,gpt,mw,0.0
dah,gpt,wordnet,0.0
dah,llama,mw,0.0
dah,llama,wordnet,0.0
dah,mw,wordnet,0.0
unprocessed,deepseek,gpt,0.5
unprocessed,deepseek,llama,0.5454545454545454
unprocessed,deepseek,mw,0.38461538461538464
unprocessed,deepseek,wordnet,0.18181818181818182
unprocessed,gpt,llama,0.7142857142857143
unprocessed,gpt,mw,0.625
unprocessed,gpt,wordnet,0.3333333333333333
unprocessed,llama,mw,0.5
unprocessed,llama,wordnet,0.25
unprocessed,mw,wordnet,0.2222222222222222
nat,deepseek,gpt,0.0
nat,deepseek,llama,0.16666666666666666
nat,deepseek,mw,0.045454545454545456
nat,deepseek,wordnet,0.0
nat,gpt,llama,0.0
nat,gpt,mw,0.0
nat,gpt,wordnet,0.0
nat,llama,mw,0.0
nat,llama,wordnet,0.0
nat,mw,wordnet,0.0
intrigue,deepseek,gpt,0.2
intrigue,deepseek,llama,0.15789473684210525
intrigue,deepseek,mw,0.22580645161290322
intrigue,deepseek,wordnet,0.21428571428571427
intrigue,gpt,llama,0.3333333333333333
intrigue,gpt,mw,0.14285714285714285
intrigue,gpt,wordnet,0.1
intrigue,llama,mw,0.16129032258064516
intrigue,llama,wordnet,0.07142857142857142
intrigue,mw,wordnet,0.14814814814814814
gorgeous,deepseek,gpt,0.42857142857142855
gorgeous,deepseek,llama,0.46153846153846156
gorgeous,deepseek,mw,0.12903225806451613
gorgeous,deepseek,wordnet,0.0
gorgeous,gpt,llama,0.46153846153846156
gorgeous,gpt,mw,0.16666666666666666
gorgeous,gpt,wordnet,0.0
gorgeous,llama,mw,0.13333333333333333
gorgeous,llama,wordnet,0.0
gorgeous,mw,wordnet,0.0
cumin,deepseek,gpt,0.0
cumin,deepseek,llama,0.0
cumin,deepseek,mw,0.0
cumin,deepseek,wordnet,0.0
cumin,gpt,llama,0.0
cumin,gpt,mw,0.0
cumin,gpt,wordnet,0.0
cumin,llama,mw,0.0
cumin,llama,wordnet,0.0
cumin,mw,wordnet,0.0
entering,deepseek,gpt,0.21428571428571427
entering,deepseek,llama,0.125
entering,deepseek,mw,0.031746031746031744
entering,deepseek,wordnet,0.0
entering,gpt,llama,0.1
entering,gpt,mw,0.017543859649122806
entering,gpt,wordnet,0.034482758620689655
entering,llama,mw,0.09259259259259259
entering,llama,wordnet,0.03333333333333333
entering,mw,wordnet,0.05405405405405406
interchangeable,deepseek,gpt,0.2
interchangeable,deepseek,llama,0.4444444444444444
interchangeable,deepseek,mw,0.7142857142857143
interchangeable,deepseek,wordnet,0.09090909090909091
interchangeable,gpt,llama,0.375
interchangeable,gpt,mw,0.25
interchangeable,gpt,wordnet,0.1111111111111111
interchangeable,llama,mw,0.375
interchangeable,llama,wordnet,0.1
interchangeable,mw,wordnet,0.1111111111111111
cep,deepseek,gpt,0.0
cep,deepseek,llama,0.0
cep,deepseek,mw,0.041666666666666664
cep,deepseek,wordnet,0.0
cep,gpt,llama,0.0
cep,gpt,mw,0.045454545454545456
cep,gpt,wordnet,0.0
cep,llama,mw,0.0
cep,llama,wordnet,0.0
cep,mw,wordnet,0.0
cant,deepseek,gpt,0.15384615384615385
cant,deepseek,llama,0.0
cant,deepseek,mw,0.06976744186046512
cant,deepseek,wordnet,0.2857142857142857
cant,gpt,llama,0.0
cant,gpt,mw,0.03571428571428571
cant,gpt,wordnet,0.1
cant,llama,mw,0.060240963855421686
cant,llama,wordnet,0.15
cant,mw,wordnet,0.08791208791208792
lucy,deepseek,gpt,0.0
lucy,deepseek,llama,0.0
lucy,deepseek,mw,0.0
lucy,deepseek,wordnet,0.0
lucy,gpt,llama,0.0
lucy,gpt,mw,0.0
lucy,gpt,wordnet,0.0
lucy,llama,mw,0.0
lucy,llama,wordnet,0.0
lucy,mw,wordnet,0.0
carrion,deepseek,gpt,0.42857142857142855
carrion,deepseek,llama,0.3333333333333333
carrion,deepseek,mw,0.3333333333333333
carrion,deepseek,wordnet,0.0
carrion,gpt,llama,0.25
carrion,gpt,mw,0.2
carrion,gpt,wordnet,0.0
carrion,llama,mw,0.17647058823529413
carrion,llama,wordnet,0.0
carrion,mw,wordnet,0.0
lair,deepseek,gpt,0.45454545454545453
lair,deepseek,llama,0.5
lair,deepseek,mw,0.25
lair,deepseek,wordnet,0.09090909090909091
lair,gpt,llama,0.5555555555555556
lair,gpt,mw,0.18181818181818182
lair,gpt,wordnet,0.14285714285714285
lair,llama,mw,0.21739130434782608
lair,llama,wordnet,0.1111111111111111
lair,mw,wordnet,0.047619047619047616
irreplaceable,deepseek,gpt,0.2
irreplaceable,deepseek,llama,0.25
irreplaceable,deepseek,mw,0.11666666666666667
irreplaceable,deepseek,wordnet,0.0
irreplaceable,gpt,llama,0.4444444444444444
irreplaceable,gpt,mw,0.031746031746031744
irreplaceable,gpt,wordnet,0.16666666666666666
irreplaceable,llama,mw,0.046153846153846156
irreplaceable,llama,wordnet,0.0
irreplaceable,mw,wordnet,0.0
soul,deepseek,gpt,0.6
soul,deepseek,llama,0.5
soul,deepseek,mw,0.05084745762711865
soul,deepseek,wordnet,0.058823529411764705
soul,gpt,llama,0.4
soul,gpt,mw,0.034482758620689655
soul,gpt,wordnet,0.07692307692307693
soul,llama,mw,0.042735042735042736
soul,llama,wordnet,0.06666666666666667
soul,mw,wordnet,0.042735042735042736
gallate,deepseek,gpt,0.0
gallate,deepseek,llama,0.0
gallate,deepseek,mw,0.0
gallate,deepseek,wordnet,0.0
gallate,gpt,llama,0.0
gallate,gpt,mw,0.0
gallate,gpt,wordnet,0.0
gallate,llama,mw,0.0
gallate,llama,wordnet,0.0
gallate,mw,wordnet,0.0
attention,deepseek,gpt,0.5384615384615384
attention,deepseek,llama,0.6666666666666666
attention,deepseek,mw,0.1875
attention,deepseek,wordnet,0.0
attention,gpt,llama,0.6
attention,gpt,mw,0.1724137931034483
attention,gpt,wordnet,0.0
attention,llama,mw,0.13333333333333333
attention,llama,wordnet,0.0
attention,mw,wordnet,0.0
widow,deepseek,gpt,0.0
widow,deepseek,llama,0.0
widow,deepseek,mw,0.03571428571428571
widow,deepseek,wordnet,0.0
widow,gpt,llama,0.0
widow,gpt,mw,0.0
widow,gpt,wordnet,0.0
widow,llama,mw,0.0
widow,llama,wordnet,0.0
widow,mw,wordnet,0.0
parturient,deepseek,gpt,0.07142857142857142
parturient,deepseek,llama,0.2
parturient,deepseek,mw,0.21739130434782608
parturient,deepseek,wordnet,0.0
parturient,gpt,llama,0.125
parturient,gpt,mw,0.05555555555555555
parturient,gpt,wordnet,0.0
parturient,llama,mw,0.1
parturient,llama,wordnet,0.0
parturient,mw,wordnet,0.0
reminiscent,deepseek,gpt,0.3
reminiscent,deepseek,llama,0.4
reminiscent,deepseek,mw,0.25
reminiscent,deepseek,wordnet,0.18181818181818182
reminiscent,gpt,llama,0.375
reminiscent,gpt,mw,0.4
reminiscent,gpt,wordnet,0.1111111111111111
reminiscent,llama,mw,0.3333333333333333
reminiscent,llama,wordnet,0.2222222222222222
reminiscent,mw,wordnet,0.16666666666666666
comment,deepseek,gpt,0.875
comment,deepseek,llama,0.5
comment,deepseek,mw,0.16666666666666666
comment,deepseek,wordnet,0.2
comment,gpt,llama,0.5555555555555556
comment,gpt,mw,0.1111111111111111
comment,gpt,wordnet,0.13333333333333333
comment,llama,mw,0.1111111111111111
comment,llama,wordnet,0.0625
comment,mw,wordnet,0.09523809523809523
lotus,deepseek,gpt,0.6
lotus,deepseek,llama,0.4
lotus,deepseek,mw,0.0
lotus,deepseek,wordnet,0.08333333333333333
lotus,gpt,llama,0.4
lotus,gpt,mw,0.0
lotus,gpt,wordnet,0.18181818181818182
lotus,llama,mw,0.0
lotus,llama,wordnet,0.0
lotus,mw,wordnet,0.0
breadboard,deepseek,gpt,0.3333333333333333
breadboard,deepseek,llama,0.1111111111111111
breadboard,deepseek,mw,0.0
breadboard,deepseek,wordnet,0.0
breadboard,gpt,llama,0.0
breadboard,gpt,mw,0.0
breadboard,gpt,wordnet,0.0
breadboard,llama,mw,0.0
breadboard,llama,wordnet,0.0
breadboard,mw,wordnet,0.0
rocketry,deepseek,gpt,0.3333333333333333
rocketry,deepseek,llama,0.14285714285714285
rocketry,deepseek,mw,0.0
rocketry,deepseek,wordnet,0.0
rocketry,gpt,llama,0.0
rocketry,gpt,mw,0.0
rocketry,gpt,wordnet,0.0
rocketry,llama,mw,0.0
rocketry,llama,wordnet,0.0
rocketry,mw,wordnet,0.0
haver,deepseek,gpt,0.0
haver,deepseek,llama,0.0
haver,deepseek,mw,0.0
haver,deepseek,wordnet,0.0
haver,gpt,llama,0.0
haver,gpt,mw,0.0
haver,gpt,wordnet,0.0
haver,llama,mw,0.0
haver,llama,wordnet,0.0
haver,mw,wordnet,0.0
sublime,deepseek,gpt,0.2857142857142857
sublime,deepseek,llama,0.42857142857142855
sublime,deepseek,mw,0.02564102564102564
sublime,deepseek,wordnet,0.041666666666666664
sublime,gpt,llama,0.38461538461538464
sublime,gpt,mw,0.08571428571428572
sublime,gpt,wordnet,0.21052631578947367
sublime,llama,mw,0.05263157894736842
sublime,llama,wordnet,0.19047619047619047
sublime,mw,wordnet,0.07142857142857142
stein,deepseek,gpt,0.3333333333333333
stein,deepseek,llama,0.2857142857142857
stein,deepseek,mw,0.36363636363636365
stein,deepseek,wordnet,0.0
stein,gpt,llama,0.4
stein,gpt,mw,0.3
stein,gpt,wordnet,0.0
stein,llama,mw,0.16666666666666666
stein,llama,wordnet,0.0
stein,mw,wordnet,0.0
lat,deepseek,gpt,0.14285714285714285
lat,deepseek,llama,0.16666666666666666
lat,deepseek,mw,0.0
lat,deepseek,wordnet,0.0
lat,gpt,llama,0.125
lat,gpt,mw,0.041666666666666664
lat,gpt,wordnet,0.0
lat,llama,mw,0.0
lat,llama,wordnet,0.0
lat,mw,wordnet,0.0
servant,deepseek,gpt,0.35714285714285715
servant,deepseek,llama,0.42857142857142855
servant,deepseek,mw,0.14705882352941177
servant,deepseek,wordnet,0.07692307692307693
servant,gpt,llama,0.26666666666666666
servant,gpt,mw,0.08571428571428572
servant,gpt,wordnet,0.18181818181818182
servant,llama,mw,0.14705882352941177
servant,llama,wordnet,0.07692307692307693
servant,mw,wordnet,0.1
dominion,deepseek,gpt,0.5454545454545454
dominion,deepseek,llama,0.5833333333333334
dominion,deepseek,mw,0.25925925925925924
dominion,deepseek,wordnet,0.07142857142857142
dominion,gpt,llama,0.6
dominion,gpt,mw,0.24
dominion,gpt,wordnet,0.09090909090909091
dominion,llama,mw,0.2692307692307692
dominion,llama,wordnet,0.07692307692307693
dominion,mw,wordnet,0.0
upside,deepseek,gpt,0.15384615384615385
upside,deepseek,llama,0.5
upside,deepseek,mw,0.0
upside,deepseek,wordnet,0.0
upside,gpt,llama,0.25
upside,gpt,mw,0.0
upside,gpt,wordnet,0.0
upside,llama,mw,0.0
upside,llama,wordnet,0.0
upside,mw,wordnet,0.0
blocked,deepseek,gpt,0.4166666666666667
blocked,deepseek,llama,0.5833333333333334
blocked,deepseek,mw,0.09859154929577464
blocked,deepseek,wordnet,0.023809523809523808
blocked,gpt,llama,0.6
blocked,gpt,mw,0.08695652173913043
blocked,gpt,wordnet,0.0
blocked,llama,mw,0.1
blocked,llama,wordnet,0.0
blocked,mw,wordnet,0.09782608695652174
auto,deepseek,gpt,0.625
auto,deepseek,llama,0.625
auto,deepseek,mw,0.4166666666666667
auto,deepseek,wordnet,0.4444444444444444
auto,gpt,llama,1.0
auto,gpt,mw,0.4
auto,gpt,wordnet,0.6666666666666666
auto,llama,mw,0.4
auto,llama,wordnet,0.6666666666666666
auto,mw,wordnet,0.4
tien,deepseek,gpt,0.0
tien,deepseek,llama,0.0
tien,deepseek,mw,0.0
tien,deepseek,wordnet,0.0
tien,gpt,llama,0.0
tien,gpt,mw,0.045454545454545456
tien,gpt,wordnet,0.0
tien,llama,mw,0.0
tien,llama,wordnet,0.0
tien,mw,wordnet,0.0
expediency,deepseek,gpt,0.4444444444444444
expediency,deepseek,llama,0.36363636363636365
expediency,deepseek,mw,0.0
expediency,deepseek,wordnet,0.0
expediency,gpt,llama,0.7142857142857143
expediency,gpt,mw,0.0
expediency,gpt,wordnet,0.0
expediency,llama,mw,0.0
expediency,llama,wordnet,0.0
expediency,mw,wordnet,0.2222222222222222
hammersmith,deepseek,gpt,0.0
hammersmith,deepseek,llama,0.0
hammersmith,deepseek,mw,0.0
hammersmith,deepseek,wordnet,0.0
hammersmith,gpt,llama,0.0
hammersmith,gpt,mw,0.0
hammersmith,gpt,wordnet,0.0
hammersmith,llama,mw,0.0
hammersmith,llama,wordnet,0.0
hammersmith,mw,wordnet,0.0
breed,deepseek,gpt,0.5555555555555556
breed,deepseek,llama,0.0
breed,deepseek,mw,0.07575757575757576
breed,deepseek,wordnet,0.14285714285714285
breed,gpt,llama,0.0
breed,gpt,mw,0.08064516129032258
breed,gpt,wordnet,0.09090909090909091
breed,llama,mw,0.06153846153846154
breed,llama,wordnet,0.07692307692307693
breed,mw,wordnet,0.06153846153846154
facilitative,deepseek,gpt,0.4444444444444444
facilitative,deepseek,llama,0.2727272727272727
facilitative,deepseek,mw,0.14285714285714285
facilitative,deepseek,wordnet,0.0
facilitative,gpt,llama,0.375
facilitative,gpt,mw,0.08333333333333333
facilitative,gpt,wordnet,0.0
facilitative,llama,mw,0.07692307692307693
facilitative,llama,wordnet,0.0
facilitative,mw,wordnet,0.0
celled,deepseek,gpt,0.4
celled,deepseek,llama,0.0
celled,deepseek,mw,0.0
celled,deepseek,wordnet,0.0
celled,gpt,llama,0.0
celled,gpt,mw,0.0
celled,gpt,wordnet,0.0
celled,llama,mw,0.0
celled,llama,wordnet,0.0
celled,mw,wordnet,0.0
luke,deepseek,gpt,0.0
luke,deepseek,llama,0.0
luke,deepseek,mw,0.0
luke,deepseek,wordnet,0.0
luke,gpt,llama,0.0
luke,gpt,mw,0.0
luke,gpt,wordnet,0.0
luke,llama,mw,0.0
luke,llama,wordnet,0.0
luke,mw,wordnet,0.0
gorse,deepseek,gpt,0.2
gorse,deepseek,llama,0.5
gorse,deepseek,mw,0.0
gorse,deepseek,wordnet,0.6
gorse,gpt,llama,0.5
gorse,gpt,mw,0.0
gorse,gpt,wordnet,0.14285714285714285
gorse,llama,mw,0.0
gorse,llama,wordnet,0.3333333333333333
gorse,mw,wordnet,0.0
paint,deepseek,gpt,0.3333333333333333
